RANumb,Text,Label
ra2,"Effective Date: January 1, 2023",Updated Privacy Policy
ra2,"Please read the following to learn more about our privacy policy. By visiting our website, utilizing our services, or downloading the Social Catfish App, you are accepting the practices outlined in this Privacy Policy.",Updated Privacy Policy
ra2,"Identifiers and Personal Information Categories.\nWhat We Collect: Social Catfish collects the following identifiers from users of our Website: First and last names, email addresses, phone numbers, billing addresses, credit and debit card numbers and IP addresses.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022. This information is collected for purposes of creating accounts and billing for use of our services. It is also used to allow us to provide the services of the website and respond to customer service requests. It is also used for analytics and internal marketing purposes. This information is also used for fraud prevention.\n\nThis information is disclosed to billing vendors, Social Catfish's marketing services, Social Catfish's third-party analytics services, and Social Catfish's customer service vendor",Categories of Personal Information Collected
ra2,"Identifiers and Personal Information Categories.\nWhat We Collect: Social Catfish collects the following identifiers from users of our Website: First and last names, email addresses, phone numbers, billing addresses, credit and debit card numbers and IP addresses.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022. This information is collected for purposes of creating accounts and billing for use of our services. It is also used to allow us to provide the services of the website and respond to customer service requests. It is also used for analytics and internal marketing purposes. This information is also used for fraud prevention.\n\nThis information is disclosed to billing vendors, Social Catfish's marketing services, Social Catfish's third-party analytics services, and Social Catfish's customer service vendor\n\n",Categories of Personal Information Shared / Disclosed
ra2,"Commercial Information\nWhat We Collect: Social Catfish collects the following personal information categories from users of our Website: Purchase histories and purchase tendencies (eg. what services a customer has previously used or purchased) regarding use of Social Catfish services.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022. This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed to billing vendors, Social Catfish's marketing services, Social Catfish's analytics services, and Social Catfish's customer service vendor",Categories of Personal Information Collected
ra2,"Commercial Information\nWhat We Collect: Social Catfish collects the following personal information categories from users of our Website: Purchase histories and purchase tendencies (eg. what services a customer has previously used or purchased) regarding use of Social Catfish services.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022. This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed to billing vendors, Social Catfish's marketing services, Social Catfish's analytics services, and Social Catfish's customer service vendor",Categories of Personal Information Shared / Disclosed
ra2,"Internet or Similar Network Activity\nWhat We Collect: Social Catfish collects the following personal information categories from related to internet of similar network activity from users of our Website: Analytics using Google analytics, history of searches on the Social Catfish Website including date of search and what was searched, and information on your interaction with the Social Catfish Website including clicks and website use tendencies.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022 This information is collected for purposes of maintaining search histories to ease in the use of our services. It is is also used with our analytics platforms to help improve the service and to be able to improve our internal advertising targeting. This is also used for responding to customer service requests and fraud prevention.\n\nThis information is disclosed to Social Catfish's marketing services, Social Catfish's analytics services, and Social Catfish's customer service vendor.\n\nEquipment Information\nWhat We Collect: Social Catfish collects the following personal information categories related to equipment information from users of our Website: information about the type of device you use to access the Social Catfish website.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022 This information is collected for analytics purposes, to improve your interaction with the website and for advertising purposes. This information is also used for customer service and fraud prevention.\n\nThis information is disclosed to Social Catfish's third-party marketing services and Social Catfish's third-party analytics services.",Categories of Personal Information Collected
ra2,"Internet or Similar Network Activity\nWhat We Collect: Social Catfish collects the following personal information categories from related to internet of similar network activity from users of our Website: Analytics using Google analytics, history of searches on the Social Catfish Website including date of search and what was searched, and information on your interaction with the Social Catfish Website including clicks and website use tendencies.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022 This information is collected for purposes of maintaining search histories to ease in the use of our services. It is is also used with our analytics platforms to help improve the service and to be able to improve our internal advertising targeting. This is also used for responding to customer service requests and fraud prevention.\n\nThis information is disclosed to Social Catfish's marketing services, Social Catfish's analytics services, and Social Catfish's customer service vendor.\n\nEquipment Information\nWhat We Collect: Social Catfish collects the following personal information categories related to equipment information from users of our Website: information about the type of device you use to access the Social Catfish website.\n\nWhat We do With It: We have disclosed this information, but not sold it, since January 01, 2022 This information is collected for analytics purposes, to improve your interaction with the website and for advertising purposes. This information is also used for customer service and fraud prevention.\n\nThis information is disclosed to Social Catfish's third-party marketing services and Social Catfish's third-party analytics services.",Categories of Personal Information Shared / Disclosed
ra2,"Identifiers and Personal Information Categories.\nWhat We Collect: Social Catfish collects the following identifiers through licensing from third parties and publicly available sources on the internet: First and last names, aliases, usernames, profile images, current and past email addresses, current and past home addresses, current and past phone numbers, publicly available education history, potential associates, and publicly available online profiles.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.\n\nProtected Classification Characteristics\nWhat We Collect: Social Catfish collects the following identifiers through licensing from third parties and publicly available sources on the internet: age, birth date, marital status, languages potentially spoken, and gender.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.\n\nProfessional or Employment Related Information\nWhat We Collect: Social Catfish collects the following identifiers related to professional or employment related information through licensing from third parties and publicly available sources on the internet: current and previous job history including job title, period worked, industry, employing organization.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.",Categories of Personal Information Collected
ra2,"Identifiers and Personal Information Categories.\nWhat We Collect: Social Catfish collects the following identifiers through licensing from third parties and publicly available sources on the internet: First and last names, aliases, usernames, profile images, current and past email addresses, current and past home addresses, current and past phone numbers, publicly available education history, potential associates, and publicly available online profiles.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.\n\nProtected Classification Characteristics\nWhat We Collect: Social Catfish collects the following identifiers through licensing from third parties and publicly available sources on the internet: age, birth date, marital status, languages potentially spoken, and gender.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.\n\nProfessional or Employment Related Information\nWhat We Collect: Social Catfish collects the following identifiers related to professional or employment related information through licensing from third parties and publicly available sources on the internet: current and previous job history including job title, period worked, industry, employing organization.\n\nWhat We do With It: We have disclosed and sold this information since January 01, 2022 This information is collected, disclosed, and sold for purposes of providing SocialCatfish’s search services to consumers.\n\nThis information is disclosed and sold to Consumers using Social Catfish’s services to make searches.",Categories of Personal Information Shared / Disclosed
