RANumb,Text,Label
ra6,"Last Updated: February 15, 2023",Updated Privacy Policy
ra6,"Updates\nJust like your local community, Patch and the Service are growing and changing every day, and thus this Privacy Policy is subject to change by Patch at any time. The most current version of this Privacy Policy can be viewed on the Sites, and we will let you know when the latest updates occurred – just check the “Effective Date” on the posted Privacy Policy. If you access or use the Service or submit any content after the latest Effective Date, you consent to the new Privacy Policy.",Updated Privacy Policy
ra6,"Personal Information You Provide or We Collect\nPatch receives and stores information you choose to provide to us directly. We also receive and store information that we collect passively or automatically when you use the Service.\n\nPersonal Information You Provide. Patch receives and stores any information you enter on the Sites or through the Service or provide in any other way. In order to register or in connection with other uses of the Service, such as participation in contests, sweepstakes or promotions, subscribing to a Patch email newsletter, placing a classified or promoting an event, or to contact us with an inquiry or to report a problem, you may be asked to provide, or voluntarily provide, certain personally identifiable information such as your name, email address, street address, telephone number or credit card number or preferences (“Personal Information”).",Categories of Personal Information Collected
ra6,"If you submit an email address or other Personal Information through an advertisement on the Service, Patch will share that information with the advertiser so that they may contact you directly (if you are located in the EU/EEA/UK, we will only share this information with the advertiser with your consent).",Categories of Personal Information Shared / Disclosed
ra6,"Personal Information We Collect. We receive and store certain types of information automatically, whenever you interact with the Service. Patch and its third-party service providers, advertisers, advertising networks and platforms, agencies and other partners (“Partners”) may collect or receive information about you or your computer or other device used to access the Service. This information includes, without limitation, your IP address, browser type, operating system, Internet service provider, mobile network, type of mobile device, mobile carrier, phone number, device identifiers and settings, advertising identifiers, browser settings, pages you have visited on the Service, search activity, date and time of your access to or use of the Service, requested and referring URLs, whether and when you open our newsletters or other emails, your interaction with advertising and other data when you use the Service, and other information relating to your preferences, such as marketing preferences and the types of services or offers that interest you.",Categories of Personal Information Collected
ra6,"Social Media and Other Services. If you choose to connect to or access the Service with a social networking or other service, such as Facebook, Apple or Google, we may share information about you with that service and they may share information with us, including Personal Information such as your name, alias, email address, profile picture and images that include identifiable location information such as a street name or landmark",Categories of Personal Information Shared / Disclosed
ra6,"Location Information. If you download or use the Apps, or access or use the Service on a mobile device, Patch may receive information about your location (such as geolocation, beacon-based location and GPS location) and your device, which may include a unique identifier for the device. We may use this information to determine your location and to provide you with location-based services, such as advertising, search results and other personalized content",Categories of Personal Information Collected
ra6,"Personal Information obtained from your mobile device in connection with any text or push notification services may include your cell phone number, your carrier’s name, the date, time and content of your messages and other information you provide to us as part of these services. ",Categories of Personal Information Collected
ra6,"Information from Other Sources. We might receive information about you, including Personal Information, from other sources, and include and store it with other information about you. This could include, for example, information about search results and links, including sponsored links.",Categories of Personal Information Collected
ra6,"How We Use Your Personal Information\nPatch and its Partners may use your information, including Personal Information and any other information you provide or we collect to, or in connection with, the following key purposes:\n\nProvide the Service to you, including providing technical and other support for the Service and personalizing your experience using the Service;\nMaintain, improve and develop the Service and features and content of the Service, including research and analysis with respect to the Service;\nCommunicate with you regarding the Service or with marketing messages and respond to and fulfill your inquiries and requests, such as subscriptions to Patch email newsletters (if you are located in the EU/EEA/UK, we will only communicate marketing messages with your consent);\nAdminister contests and sweepstakes, and notify you if you have won;\nEnforce this Privacy Policy and the Patch Terms of Use, address fraud and other illegal activities, including claims of copyright infringement, and protect your safety and the safety of other users of the Service;\nThe purpose(s) for which you provide the information;\nDeliver, and help advertisers and content providers deliver, advertising and content that is customized to your individual behavior or demographic, based on your use of the Service and other online or mobile websites, apps and services, location information and inferred interests (if you are located in the EU/EEA/UK, we will only do this with your consent);\nAnalyze your use of the Service and the performance of, and your interactions with, advertising and content provided on the Service and provide reports to third parties regarding use of the Service and advertising on the Service, such as showing trends regarding preferences, advertising effectiveness and user experience on the Service. These reports may include aggregate or anonymized information;\nAssociate your activity across the Service and the different devices you use, and associate any accounts you may use across the Service;\nCarry out or support promotions;\nPromote our legitimate business interests and those of a third party;\nProvide location-based aspects of the Service, advertising, search results and content, in accordance with your location settings;\nBack-up Patch systems, allow for disaster recovery and enhance security of the Service;\nComply with legal obligations; and\nAs you may otherwise agree or consent.",Categories of Personal Information Collected
ra6,"Patch may also receive information about you that is publicly or commercially available, and we may combine that information with information we have collected or received by other means, including information about your use of the Service, for any of the purposes discussed in this Privacy Policy.",Categories of Personal Information Collected
ra6,"Patch and its Partners may use “cookies” or similar technology to associate your information with an identifier associated with your device or browser. We may also associate cookies with your information, including de-identified or anonymized information, for use by Patch or our Partners to send advertisements and offers based on your individual behavior and demographic information.",Categories of Personal Information Collected
ra6,"How We Disclose Your Information\nPatch may disclose your information, including Personal Information, as follows:\n\nTo our service providers or Partners who provide services to Patch, such as user support; marketing services; hosting; research and analytics; administration of contests and sweepstakes; sending or supporting advertising; and otherwise in connection with provision of the Service. These service providers or Partners may also share information with Patch that they collect or obtain from or about you in connection with their services, and they may share such information with their subsidiaries, joint ventures or other companies under their common control.\nSome portions of the Sites may use framing or other techniques to serve content to you from our Partners, or otherwise provide content that is hosted by our Partners, while preserving the “look and feel” of the Patch Service. Please note that the information you provide or that is collected about you in any such portion of the Sites is being provided to a third party Partner.\nIn order to process a payment, Patch may provide information, including your personal information, to a third party payment processor(s). Patch is not responsible for any third party payment processor’s privacy practices.\nAdvertisers and other Partners may use “cookies” on or through the Service to collect the same types of information for the same purposes as Patch. Such third parties may be able to associate information they collect in connection with the Service with other information they have about you from other sources.",Categories of Personal Information Shared / Disclosed
ra6,"We may share non-personally identifiable information, such as advertising identifiers or other information with third parties to facilitate targeted or interest-based advertising, including advertising across devices and platforms. We may also share aggregate or anonymized information with third parties, such as advertisers or other Partners.\nOur content partners may be able to use and display public content available through the Service, including content you have provided.\nIn response to legal process such as a court order or subpoena or a request by law enforcement or a government agency, or as otherwise required by law.\nTo other business entities in connection with the sale, assignment, merger or other transfer of all or a portion of Patch’s business to that business entity.\nIn connection with any investigation, prevention or action Patch may take, in our discretion, with respect to activities we believe may be illegal, or violate our Terms of Use or other policies, or an emergency that may pose a threat to your or another person’s safety, or as necessary to protect Patch’s rights and property.",Categories of Personal Information Shared / Disclosed
ra6,"We will not sell your Personal Information to any third party not affiliated with Patch without your consent, except in connection with the sale or merger of Patch or some or all of its assets or the division responsible for applicable services, or in the unlikely event of a bankruptcy.",Categories of Personal Information Sold
ra6,"Patch and its Partners may use “cookies” to recognize your device; store your preferences; track and collect information about user behavior, for example by counting the number of visitors to a web page, tracking open rates, clicks and forwards; prevent fraud; comply with legal requirements; and facilitate and enhance communication and interaction with the Service or with other websites or services.",Categories of Personal Information Collected
ra6,"Patch, or its Partners, may also use cookies and similar technologies to customize your visit to or use of the Service, or to help enhance or improve the Service, for example by storing your password or delivering relevant advertising to you when you use the Service. We may also work with our Partners to use such technologies to help them provide advertisements to you when you visit other websites or applications, and to research and analyze how the Service is used and user response to and interaction with advertisements.",Categories of Personal Information Collected
ra6,"Patch, or its Partners, may also use cookies and similar technologies to customize your visit to or use of the Service, or to help enhance or improve the Service, for example by storing your password or delivering relevant advertising to you when you use the Service. We may also work with our Partners to use such technologies to help them provide advertisements to you when you visit other websites or applications, and to research and analyze how the Service is used and user response to and interaction with advertisements.",Categories of Personal Information Shared / Disclosed
ra6,"Patch may work with our Partners to synchronize unique, non-personally identifiable identifiers in order to match our identifiers with those used by our Partners. These companies may collect and use non-personally identifiable information during your visits to or use of the Service and other websites and apps.",Categories of Personal Information Shared / Disclosed
ra6,"Patch or its Partners may use mobile Software Development Kits (“SDKs”) to collect information, such as your IDFA or Android Advertising ID, and other information about how your device interacts with the Service. SDKs allow app developers to enable advertising, collection of data and related services and analytics in apps. Patch may use this technology to deliver, or to help Partners deliver, advertising through the Apps and other mobile applications and browsers based on information associated with your device",Categories of Personal Information Collected
ra6,"Patch or its Partners may use mobile Software Development Kits (“SDKs”) to collect information, such as your IDFA or Android Advertising ID, and other information about how your device interacts with the Service. SDKs allow app developers to enable advertising, collection of data and related services and analytics in apps. Patch may use this technology to deliver, or to help Partners deliver, advertising through the Apps and other mobile applications and browsers based on information associated with your device.",Categories of Personal Information Shared / Disclosed
ra6,"In some cases, because you must request content from the Partner’s server, or otherwise communicate directly with the Partner’s server the Partner can collect your information, such as your IP address or browser information, as if you had visited their website or used their app directly. In connection with the foregoing, Patch Partners may collect information about the content or ads you viewed, how long you spent on different pages or parts of the Service, how you arrived at specific pages on the Service, and how you responded to ads that you saw. Partners may also collect information about other apps on your devices, the websites you visit, your geographic location and other information. Patch may also allow certain Partners, such as third-party ad servers, advertising agencies, technology vendors and providers of sponsored content to serve advertisements and collect information within the Service.",Categories of Personal Information Collected
ra6,"In some cases, because you must request content from the Partner’s server, or otherwise communicate directly with the Partner’s server the Partner can collect your information, such as your IP address or browser information, as if you had visited their website or used their app directly. In connection with the foregoing, Patch Partners may collect information about the content or ads you viewed, how long you spent on different pages or parts of the Service, how you arrived at specific pages on the Service, and how you responded to ads that you saw. Partners may also collect information about other apps on your devices, the websites you visit, your geographic location and other information. Patch may also allow certain Partners, such as third-party ad servers, advertising agencies, technology vendors and providers of sponsored content to serve advertisements and collect information within the Service.",Categories of Personal Information Shared / Disclosed
ra6,"We may use email or text to communicate with you, to send information that you have requested or to send information about other products or services developed or provided by us;",Categories of Personal Information Collected
ra6,"If you wish to opt-out of sale of your personal information, please use the Patch Privacy Web Form, or if you prefer contact us via email at privacy@patch.com or write to us at the address at the end of this Privacy Policy.",Description of Right to Opt-out of sale of PI
ra6,"Changes to Privacy Policy\nWe reserve the right, at our discretion, to change, modify, add, or remove portions from this Privacy Policy at any time. We will post any changes here. Your continued use of the Service following the posting of any changes to this Privacy Policy means you accept such changes.",Updated Privacy Policy
ra6,"Depending on how you use the Service and the permissions you have given Patch, Patch may “sell” the following categories of information (as defined in the CCPA) to third parties: identifiers; contact information; internet or electronic network activity information; geolocation information; commercial information; inferences, including advertising and content related inferences; and professional or employment related information.",Categories of Personal Information Sold
ra6,"To make such a request, please contact us as set forth below.",Methods to exercise rights
ra6,"The right to know what personal information we have collected, used, disclosed and sold about you.",Description of Right to Know PI Collected
ra6,"The right to know what personal information we have collected, used, disclosed and sold about you.",Description of Right to Know PI sold / shared
ra6,The right to request that we delete any personal information we have collected about you.,Description of Right to Delete
ra6,The right to opt-out of the sale of your personal information.,Description of Right to Opt-out of sale of PI
ra6,"To submit a request for information about or deletion of your personal information, or to opt-out of sale of your personal information, please use the Patch Privacy Web Form, or if you prefer contact us via email at privacy@patch.com or write to us at the address below.\n\nPlanck, LLC\nAttn: CCPA\n134 W. 29th Street, 11th Floor\nNew York, NY 10001",Methods to exercise rights
ra6,Patch will not discriminate against any consumer for exercising his or her rights under the CCPA,Description of Right to Non-discrimination on exercising rights
